sku,pagepath,dsc_image_url,product_name
GE779AA10TPXQNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/61/852814/1.jpg,SALE! Men's Long Sleeve Embroidered Shirts Slim Fit Casual Button Down Shirt Navy Green
FA203AA1FQU2ANAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/86/912434/1.jpg,6 In 1 Men's Classic Design Long Sleeve Shirt
FA203AA0G68YUNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/27/165414/1.jpg,Corporate Long Sleeve Shirts For Men Office Wear Navy Blue
FA203AA137SEGNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/65/868424/1.jpg,Men Causal Long Sleeve Slim Fit Formal Shirts
FA203MW0IDBRANAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/30/854854/1.jpg,Plain Wine Longsleeve Fashion Mens Shirt
FA203AA13Z4R4NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/67/144144/1.jpg,4 In 1 Men's Office Classic Design Long Sleeve Shirt
FA203AA0SGTVTNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/47/814473/1.jpg,6 In 1 Men's Classic Design Long Sleeve Shirt
FA203AA1230CYNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/63/965842/1.jpg,Men's Classic Design Long Sleeve Shirt
FA203AA0X6A4FNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/55/720383/1.jpg,A Casual Shirt With A Square Neck And Long Sleeves-Dark Blue
FA203AA0JEY5KNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/32/610152/1.jpg,Men's Classic Design Long Sleeve Shirt
FA203AA1FNOHNNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/86/765243/1.jpg,4 In 1 Men's Classic Design Long Sleeve Shirt
FA203AA0S7TEWNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/47/39396/1.jpg,Plain Formal Long Sleeve Oxford Shirt - Brick Red
